AL,159
AK,8
AZ,114
AR,63
CA,594
CO,76
CT,44
DE,24
DC,22
FL,390
GA,320
HI,25
ID,26
IL,272
IN,148
IA,66
KS,51
KY,113
LA,154
ME,17
MD,137
MA,79
MI,197
MN,111
MS,79
MO,151
MT,12
NE,37
NV,45
NH,17
NJ,148
NM,40
NY,261
NC,193
ND,16
OH,294
OK,78
OR,62
PA,277
PR,44
RI,17
SC,132
SD,22
TN,170
TX,550
UT,38
VT,8
VI,4
VA,152
WA,84
WV,36
WI,114
WY,9
AS,1
GU,4
MP,2
