patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,2:30 PM,3/10/14,Monday
Faculty,01-5 minutes,Phone Personal,Research and Instruction Services,3:00 PM,3/10/14,Monday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,3:30 PM,3/10/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,3/11/14,Tuesday
Staff/Administration,10-20 minutes,Email List,Archives and Special Collections,12:00 PM,3/11/14,Tuesday
Graduate Student,01-5 minutes,Email List,Research and Instruction Services,12:00 PM,3/11/14,Tuesday
Graduate Student,01-5 minutes,Email List,Research and Instruction Services,12:00 PM,3/11/14,Tuesday
Faculty,01-5 minutes,Email Personal,Access Services,1:30 PM,3/11/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,1:30 PM,3/11/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,1:30 PM,3/11/14,Tuesday
Faculty,05-10 minutes,In Person Personal,Research and Instruction Services,2:00 PM,3/11/14,Tuesday
Faculty,01-5 minutes,In Person Personal,Research and Instruction Services,2:00 PM,3/11/14,Tuesday
ARC,01-5 minutes,Phone Service Point,Access Services,4:30 PM,3/11/14,Tuesday
Alumni,05-10 minutes,In Person Service Point,Access Services,5:00 PM,3/11/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,6:30 PM,3/11/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:30 AM,3/12/14,Wednesday
Faculty,01-5 minutes,Email List,Access Services,9:30 AM,3/12/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,3/12/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,3/12/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,3/12/14,Wednesday
Graduate Student,30-60 minutes,In Person Service Point,Access Services,7:30 PM,3/12/14,Wednesday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,8:00 PM,3/12/14,Wednesday
Faculty,01-5 minutes,Phone Service Point,Access Services,8:30 AM,3/13/14,Thursday
Visitor/Other,30-60 minutes,In Person Personal,Access Services,11:30 AM,3/13/14,Thursday
Staff/Administration,20-30 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,3/13/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,4:30 PM,3/13/14,Thursday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,4:30 PM,3/13/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,3/13/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:30 PM,3/13/14,Thursday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,5:30 PM,3/13/14,Thursday
Graduate Student,30-60 minutes,In Person Service Point,Access Services,6:00 PM,3/13/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,7:30 PM,3/13/14,Thursday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,8:00 PM,3/13/14,Thursday
Faculty,05-10 minutes,Chat,Access Services,9:00 AM,3/14/14,Friday
Faculty,05-10 minutes,Email Personal,Access Services,9:30 AM,3/14/14,Friday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,3/14/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,3/14/14,Friday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,1:30 PM,3/14/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,3/14/14,Friday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,11:30 AM,3/15/14,Saturday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,3/15/14,Saturday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,12:00 PM,3/15/14,Saturday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,12:30 PM,3/15/14,Saturday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,1:00 PM,3/16/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,2:00 PM,3/16/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,2:00 PM,3/16/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,2:30 PM,3/16/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,3/16/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,3/16/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,4:00 PM,3/16/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,3/16/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:30 PM,3/16/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:30 PM,3/16/14,Sunday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,8:30 AM,3/17/14,Monday
Faculty,01-5 minutes,Phone Personal,Research and Instruction Services,9:30 AM,3/17/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:30 AM,3/17/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,3/17/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,3/17/14,Monday
Undergraduate Student,01-5 minutes,Phone Personal,Access Services,1:30 PM,3/17/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,3/17/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,3/17/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,3/18/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,3/18/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/18/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:30 PM,3/18/14,Tuesday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,12:30 PM,3/18/14,Tuesday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,1:30 PM,3/18/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/18/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/18/14,Tuesday
Staff/Administration,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,3/18/14,Tuesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,10:30 AM,3/19/14,Wednesday
Visitor/Other,05-10 minutes,In Person Service Point,Access Services,12:30 PM,3/19/14,Wednesday
Undergraduate Student,20-30 minutes,Chat,Research and Instruction Services,2:00 PM,3/19/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,3/19/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,3/19/14,Wednesday
Visitor/Other,05-10 minutes,Email Personal,Research and Instruction Services,3:00 PM,3/19/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,3/19/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,3/19/14,Wednesday
Graduate Student,05-10 minutes,Email List,Access Services,5:30 PM,3/19/14,Wednesday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,10:30 PM,3/19/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:30 AM,3/20/14,Thursday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,10:00 AM,3/20/14,Thursday
Undergraduate Student,10-20 minutes,Chat,Access Services,1:00 PM,3/20/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,3/20/14,Thursday
Faculty,01-5 minutes,Email List,Access Services,4:00 PM,3/20/14,Thursday
Visitor/Other,10-20 minutes,Email List,Archives and Special Collections,4:30 PM,3/20/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,3/20/14,Thursday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,6:30 PM,3/20/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:00 PM,3/20/14,Thursday
Graduate Student,10-20 minutes,In Person Personal,Research and Instruction Services,8:30 AM,3/21/14,Friday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,9:30 AM,3/21/14,Friday
Faculty,10-20 minutes,Email List,Archives and Special Collections,9:30 AM,3/21/14,Friday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,10:00 AM,3/21/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,3/21/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/21/14,Friday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,12:30 PM,3/21/14,Friday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,1:00 PM,3/21/14,Friday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,1:00 PM,3/21/14,Friday
Graduate Student,01-5 minutes,In Person Personal,Access Services,2:00 PM,3/21/14,Friday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,4:30 PM,3/21/14,Friday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,4:30 PM,3/21/14,Friday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,4:30 PM,3/21/14,Friday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,4:30 PM,3/21/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,3/21/14,Friday
Undergraduate Student,01-5 minutes,Chat,Access Services,8:30 PM,3/22/14,Saturday
Undergraduate Student,01-5 minutes,Chat,Access Services,8:30 PM,3/22/14,Saturday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,8:00 AM,3/23/14,Sunday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,8:30 AM,3/23/14,Sunday
Graduate Student,01-5 minutes,Email List,Access Services,2:30 PM,3/23/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,4:00 PM,3/23/14,Sunday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:30 PM,3/23/14,Sunday
Undergraduate Student,10-20 minutes,Chat,Access Services,5:00 PM,3/23/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,5:30 PM,3/23/14,Sunday
Undergraduate Student,01-5 minutes,Email List,Access Services,7:00 PM,3/23/14,Sunday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,9:30 AM,3/24/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,9:30 AM,3/24/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,3/24/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,9:30 AM,3/24/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,3/24/14,Monday
Faculty,01-5 minutes,Email List,Access Services,10:00 AM,3/24/14,Monday
Undergraduate Student,20-30 minutes,Email List,Access Services,10:30 AM,3/24/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,11:30 AM,3/24/14,Monday
Undergraduate Student,05-10 minutes,Chat,Access Services,12:00 PM,3/24/14,Monday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,1:00 PM,3/24/14,Monday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,1:00 PM,3/24/14,Monday
Graduate Student,01-5 minutes,In Person Service Point,Research and Instruction Services,4:00 PM,3/24/14,Monday
Faculty,01-5 minutes,Email Personal,Access Services,4:00 PM,3/24/14,Monday
Undergraduate Student,30-60 minutes,Email List,Access Services,7:30 PM,3/24/14,Monday
Undergraduate Student,30-60 minutes,Email List,Research and Instruction Services,8:00 AM,3/25/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,9:00 AM,3/25/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,3/25/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,3/25/14,Tuesday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,1:30 PM,3/25/14,Tuesday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,2:00 PM,3/25/14,Tuesday
Visitor/Other,0-1 minutes,Email List,Archives and Special Collections,2:00 PM,3/25/14,Tuesday
Undergraduate Student,01-5 minutes,Phone Personal,Access Services,2:00 PM,3/25/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,2:30 PM,3/25/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,2:30 PM,3/25/14,Tuesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,2:30 PM,3/25/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,2:30 PM,3/25/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,3/25/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Personal,Research and Instruction Services,4:30 PM,3/25/14,Tuesday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,4:30 PM,3/25/14,Tuesday
Graduate Student,10-20 minutes,Chat,Access Services,5:00 PM,3/25/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,5:30 PM,3/25/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,6:30 PM,3/25/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,9:00 AM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:30 AM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,3/26/14,Wednesday
Visitor/Other,0-1 minutes,Email List,Archives and Special Collections,10:30 AM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,3/26/14,Wednesday
Undergraduate Student,60+ minutes,In Person Service Point,Access Services,11:30 AM,3/26/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,3/26/14,Wednesday
Faculty,01-5 minutes,In Person Service Point,Access Services,11:30 AM,3/26/14,Wednesday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,3/26/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,12:30 PM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,2:00 PM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,3/26/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,4:00 PM,3/26/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,3/26/14,Wednesday
Faculty,01-5 minutes,Phone Service Point,Access Services,5:00 PM,3/26/14,Wednesday
Staff/Administration,60+ minutes,In Person Personal,Archives and Special Collections,5:30 PM,3/26/14,Wednesday
Staff/Administration,30-60 minutes,In Person Personal,Archives and Special Collections,5:30 PM,3/26/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,3/27/14,Thursday
Staff/Administration,05-10 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,3/27/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,10:30 AM,3/27/14,Thursday
Visitor/Other,10-20 minutes,Phone Service Point,Archives and Special Collections,11:30 AM,3/27/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,3/27/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,3/27/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,3/27/14,Thursday
Alumni,01-5 minutes,Phone Service Point,Access Services,2:00 PM,3/27/14,Thursday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,4:30 PM,3/27/14,Thursday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,5:00 PM,3/27/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,3/27/14,Thursday
Faculty,01-5 minutes,In Person Service Point,Access Services,6:00 PM,3/27/14,Thursday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,7:30 PM,3/27/14,Thursday
Visitor/Other,01-5 minutes,Email List,Archives and Special Collections,9:30 PM,3/27/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:00 AM,3/28/14,Friday
Faculty,01-5 minutes,Email Personal,Access Services,10:30 AM,3/28/14,Friday
Undergraduate Student,01-5 minutes,In Person Personal,Research and Instruction Services,10:30 AM,3/28/14,Friday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,10:30 AM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,3/28/14,Friday
Undergraduate Student,10-20 minutes,Chat,Access Services,12:00 PM,3/28/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,12:30 PM,3/28/14,Friday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,12:30 PM,3/28/14,Friday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,12:30 PM,3/28/14,Friday
Visitor/Other,20-30 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,3/28/14,Friday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,1:00 PM,3/28/14,Friday
Faculty,60+ minutes,In Person Service Point,Archives and Special Collections,2:00 PM,3/28/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,3/28/14,Friday
Undergraduate Student,01-5 minutes,Email List,Archives and Special Collections,3:00 PM,3/28/14,Friday
Staff/Administration,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,3/28/14,Friday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,3:00 PM,3/28/14,Friday
Staff/Administration,05-10 minutes,In Person Service Point,Archives and Special Collections,3:30 PM,3/28/14,Friday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,3/28/14,Friday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,4:30 PM,3/28/14,Friday
ARC,01-5 minutes,In Person Service Point,Access Services,4:30 PM,3/28/14,Friday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,12:30 PM,3/29/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,3/29/14,Saturday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,2:30 PM,3/29/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,3/29/14,Saturday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,3:00 PM,3/29/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,3/29/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,3/29/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:30 PM,3/29/14,Saturday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,4:30 PM,3/30/14,Sunday
Staff/Administration,01-5 minutes,Chat,Access Services,7:00 PM,3/30/14,Sunday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,8:00 AM,3/31/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,3/31/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:00 AM,3/31/14,Monday
Graduate Student,20-30 minutes,In Person Service Point,Access Services,12:30 PM,3/31/14,Monday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,12:30 PM,3/31/14,Monday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,1:00 PM,3/31/14,Monday
Graduate Student,30-60 minutes,In Person Service Point,Research and Instruction Services,1:30 PM,3/31/14,Monday
Staff/Administration,0-1 minutes,Phone Service Point,Access Services,1:30 PM,3/31/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,3/31/14,Monday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,3:30 PM,3/31/14,Monday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,3:30 PM,3/31/14,Monday
Undergraduate Student,05-10 minutes,Chat,Access Services,5:30 PM,3/31/14,Monday
Staff/Administration,01-5 minutes,In Person Personal,Access Services,8:00 AM,4/1/14,Tuesday
Faculty,01-5 minutes,In Person Service Point,Access Services,8:00 AM,4/1/14,Tuesday
Faculty,30-60 minutes,In Person Personal,Archives and Special Collections,10:00 AM,4/1/14,Tuesday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,10:30 AM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,4/1/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,1:00 PM,4/1/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,1:00 PM,4/1/14,Tuesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,1:00 PM,4/1/14,Tuesday
Visitor/Other,30-60 minutes,Chat,Research and Instruction Services,1:00 PM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,4/1/14,Tuesday
Undergraduate Student,01-5 minutes,Email Personal,Access Services,2:00 PM,4/1/14,Tuesday
Visitor/Other,0-1 minutes,Email List,Archives and Special Collections,2:00 PM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,4/1/14,Tuesday
Visitor/Other,20-30 minutes,Chat,Research and Instruction Services,2:00 PM,4/1/14,Tuesday
Undergraduate Student,05-10 minutes,Chat,Access Services,4:00 PM,4/1/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,4/1/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,5:00 PM,4/1/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,8:00 AM,4/2/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,8:30 AM,4/2/14,Wednesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,10:30 AM,4/2/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,4/2/14,Wednesday
Alumni,01-5 minutes,In Person Service Point,Access Services,1:00 PM,4/2/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,2:00 PM,4/2/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,4/2/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,4/2/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,4/2/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,4/2/14,Wednesday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,4/2/14,Wednesday
