patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,4:00 PM,1/13/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,1/13/14,Monday
Faculty,0-1 minutes,Phone Service Point,Access Services,8:30 AM,1/14/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,1/14/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:00 AM,1/14/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,1/14/14,Tuesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,11:00 AM,1/14/14,Tuesday
Faculty,01-5 minutes,In Person Personal,Research and Instruction Services,11:00 AM,1/14/14,Tuesday
Visitor/Other,01-5 minutes,Email Personal,Archives and Special Collections,11:00 AM,1/14/14,Tuesday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,1:00 PM,1/14/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,1/14/14,Tuesday
Graduate Student,01-5 minutes,Email List,Research and Instruction Services,2:30 PM,1/14/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,2:30 PM,1/14/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,2:30 PM,1/14/14,Tuesday
Visitor/Other,10-20 minutes,Phone Service Point,Access Services,4:30 PM,1/14/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,1/14/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,1/15/14,Wednesday
Staff/Administration,20-30 minutes,In Person Personal,Research and Instruction Services,9:00 AM,1/15/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:00 AM,1/15/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,1/15/14,Wednesday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,1/15/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,1/15/14,Wednesday
Graduate Student,10-20 minutes,In Person Service Point,Access Services,11:30 AM,1/15/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:30 PM,1/15/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,12:30 PM,1/15/14,Wednesday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,1:30 PM,1/15/14,Wednesday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,2:00 PM,1/15/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,1/15/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/15/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Research and Instruction Services,5:00 PM,1/15/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,12:00 AM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,8:00 AM,1/16/14,Thursday
Alumni,01-5 minutes,Phone Service Point,Access Services,9:30 AM,1/16/14,Thursday
Faculty,01-5 minutes,In Person Service Point,Access Services,10:00 AM,1/16/14,Thursday
Faculty,01-5 minutes,In Person Service Point,Access Services,10:00 AM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,1/16/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,1/16/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,1/16/14,Thursday
Faculty,01-5 minutes,Email Personal,Access Services,8:30 AM,1/17/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:30 AM,1/17/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:30 AM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,1/17/14,Friday
Undergraduate Student,05-10 minutes,Chat,Access Services,1:30 PM,1/17/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,1/17/14,Friday
Staff/Administration,05-10 minutes,Phone Service Point,Access Services,2:30 PM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,1/17/14,Friday
Faculty,05-10 minutes,In Person Personal,Research and Instruction Services,3:00 PM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,1/17/14,Friday
Alumni,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/17/14,Friday
Alumni,0-1 minutes,In Person Service Point,Access Services,4:30 PM,1/17/14,Friday
Faculty,0-1 minutes,Phone Service Point,Access Services,5:00 PM,1/17/14,Friday
Faculty,0-1 minutes,Phone Service Point,Access Services,5:00 PM,1/17/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,5:00 PM,1/17/14,Friday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,1/17/14,Friday
Alumni,05-10 minutes,Chat,Access Services,6:30 PM,1/17/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,1/18/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,1/18/14,Saturday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,11:30 AM,1/18/14,Saturday
Undergraduate Student,10-20 minutes,Phone Service Point,Access Services,12:00 PM,1/18/14,Saturday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,1/18/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/18/14,Saturday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,1/18/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,1/18/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:00 PM,1/18/14,Saturday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,1/19/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,1/19/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:30 PM,1/19/14,Sunday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,12:30 PM,1/19/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,1:00 PM,1/19/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,1:00 PM,1/19/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,1/19/14,Sunday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,5:30 PM,1/19/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,6:00 PM,1/19/14,Sunday
Visitor/Other,01-5 minutes,Chat,Access Services,7:00 PM,1/19/14,Sunday
Undergraduate Student,05-10 minutes,Chat,Access Services,7:30 PM,1/19/14,Sunday
Faculty,01-5 minutes,Phone Service Point,Access Services,9:30 AM,1/20/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,10:00 AM,1/20/14,Monday
Faculty,01-5 minutes,Phone Service Point,Access Services,10:30 AM,1/20/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,11:00 AM,1/20/14,Monday
Alumni,0-1 minutes,In Person Service Point,Access Services,11:00 AM,1/20/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,11:30 AM,1/20/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,12:00 PM,1/20/14,Monday
Undergraduate Student,05-10 minutes,Phone Service Point,Access Services,12:00 PM,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:30 PM,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:30 PM,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,1/20/14,Monday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,3:00 PM,1/20/14,Monday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,3:00 PM,1/20/14,Monday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,3:30 PM,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,1/20/14,Monday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,4:30 PM,1/20/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,6:30 PM,1/20/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,6:30 PM,1/20/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,6:30 PM,1/20/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,7:30 PM,1/20/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,8:00 PM,1/20/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,1/21/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 AM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,1/21/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,1/21/14,Tuesday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,11:00 AM,1/21/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,1/21/14,Tuesday
Alumni,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/21/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,1/21/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,1/21/14,Tuesday
Alumni,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/21/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/21/14,Tuesday
Staff/Administration,0-1 minutes,In Person Service Point,Archives and Special Collections,4:30 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,1/21/14,Tuesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,8:30 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,Chat,Access Services,9:00 PM,1/21/14,Tuesday
Undergraduate Student,01-5 minutes,Chat,Access Services,9:00 PM,1/21/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 AM,1/22/14,Wednesday
Graduate Student,05-10 minutes,Chat,Access Services,10:30 AM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,1/22/14,Wednesday
Graduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,10:30 AM,1/22/14,Wednesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,12:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,1/22/14,Wednesday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,12:00 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:30 PM,1/22/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,1/22/14,Wednesday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,1:30 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/22/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,Chat,Research and Instruction Services,1:30 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,1/22/14,Wednesday
Faculty,01-5 minutes,In Person Service Point,Access Services,2:00 PM,1/22/14,Wednesday
Faculty,01-5 minutes,In Person Service Point,Access Services,2:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,1/22/14,Wednesday
Visitor/Other,05-10 minutes,Email Personal,Archives and Special Collections,2:30 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,4:30 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:30 PM,1/22/14,Wednesday
